Episode,Score,Invalid Moves,Highest Tile,Total Reward,Epsilon
1,1116,0,128,221.5547254021768,0.93
2,1532,0,128,283.63324878892206,0.8649000000000001
3,776,0,64,147.93514812161405,0.8043570000000001
4,1244,0,128,215.7818006283056,0.7480520100000001
5,928,0,64,199.7754632522405,0.6956883693000001
6,1012,0,64,215.07621575996822,0.6469901834490002
7,788,0,64,176.7098913951944,0.6017008706075702
8,1340,0,128,253.17099076480494,0.5595818096650402
9,1188,0,128,209.62900239552184,0.5204110829884875
10,1068,0,128,189.02028351468647,0.48398230717929336
11,1448,0,128,238.07323860575283,0.4501035456767428
12,756,0,64,174.63770753182084,0.4185962974793708
13,1152,0,128,218.8311187199536,0.3892945566558149
14,1336,0,128,252.85007500930473,0.3620439376899079
15,772,0,64,166.40792978173897,0.33670086205161437
16,424,0,32,121.17842666191943,0.31313180170800137
17,756,0,64,164.39470362177778,0.29121257558844127
18,664,0,64,145.15258373597854,0.27082769529725037
19,820,0,64,176.7098913951944,0.25186975662644284
20,324,0,32,97.85089675278535,0.23423887366259186
21,464,0,64,97.8461010988608,0.21784215250621045
22,340,0,32,92.07797197891419,0.20259320183077573
23,992,0,64,184.2930419803512,0.18841167770262143
24,1196,0,128,220.19292206106522,0.17522286026343795
25,1044,0,64,219.87200630556495,0.1629572600449973
26,632,0,64,144.50595657105345,0.1515502518418475
27,744,0,64,166.40792978173894,0.1409417342129182
28,2672,0,256,400.53285638668115,0.13107581281801392
29,796,0,64,159.21424396334388,0.12190050592075295
30,652,0,64,157.1420600999703,0.11336747050630025
31,1356,0,128,260.6362259431372,0.10543174757085924
32,700,0,64,140.35679319038178,0.1
33,528,0,64,126.29513296301641,0.1
34,1320,0,128,237.03714667406607,0.1
35,1220,0,128,225.69909312892386,0.1
36,1092,0,128,198.29094885037964,0.1
37,580,0,64,124.93332962190482,0.1
38,920,0,64,188.69936775918623,0.1
39,732,0,64,169.13153646396216,0.1
40,228,0,32,69.40186488862979,0.1
41,836,0,64,154.8031225305843,0.1
42,1080,0,128,203.40765515147663,0.1
43,1076,0,128,198.61186460587993,0.1
44,380,0,32,95.51675483732392,0.1
45,1384,0,128,243.846163379624,0.1
46,376,0,32,95.1910434278991,0.1
47,512,0,64,108.47377412174106,0.1
48,368,0,32,104.71887116175566,0.1
49,764,0,64,154.09274200832235,0.1
50,708,0,64,141.39288512206855,0.1
51,792,0,64,162.3273154123288,0.1
52,724,0,64,156.88010204788245,0.1
53,296,0,32,88.96969618385384,0.1
54,536,0,64,113.26956466733776,0.1
55,1460,0,128,291.80406883559175,0.1
56,1264,0,128,247.60586199353398,0.1
57,504,0,32,116.77210088308439,0.1
58,324,0,32,88.58502707101671,0.1
59,588,0,64,130.11858493426325,0.1
60,180,0,16,55.793422785363006,0.1
61,760,0,64,164.0100345089406,0.1
62,616,0,64,136.59709457647182,0.1
63,1124,0,128,193.81607406028317,0.1
64,128,0,16,45.812376927407804,0.1
65,296,0,32,86.8975123204803,0.1
66,528,0,32,137.63798216208318,0.1
67,384,0,32,97.19947393393575,0.1
68,1168,0,128,222.3288592817756,0.1
69,604,0,64,131.09092350861314,0.1
70,904,0,64,202.0506474642896,0.1
71,1020,0,64,202.10960516770194,0.1
72,1452,0,128,252.4016525391307,0.1
73,604,0,64,131.80130403087512,0.1
74,1580,0,128,279.93730353234895,0.1
75,1096,0,64,228.81216457790873,0.1
76,372,0,32,95.12729007056218,0.1
77,640,0,64,157.1420600999703,0.1
78,1020,0,64,208.26719905441024,0.1
79,260,0,32,71.14833734257853,0.1
80,760,0,64,167.0593526005886,0.1
81,936,0,128,176.32042662843267,0.1
82,416,0,32,100.3077497289961,0.1
83,5104,0,512,658.9672427829547,0.1
84,624,0,64,139.71016602545674,0.1
85,576,0,64,129.01873964523958,0.1
86,452,0,32,115.34654418463592,0.1
87,1312,0,128,258.23353501641424,0.1
88,1216,0,128,232.89757460124355,0.1
89,496,0,64,119.81182766688327,0.1
90,1596,0,128,309.2997162674425,0.1
91,728,0,64,162.9739425772538,0.1
92,1668,0,128,312.7974568292645,0.1
93,1288,0,128,238.0142809023405,0.1
94,1024,0,128,184.22928862301433,0.1
95,284,0,32,76.26983929760007,0.1
96,772,0,64,170.16762839564893,0.1
97,1348,0,128,279.8145924715998,0.1
98,2488,0,256,395.0266853188225,0.1
99,1020,0,128,174.63291187789628,0.1
100,1960,0,128,349.7971821990025,0.1
101,1288,0,128,236.65247756122886,0.1
102,464,0,32,125.97421720751612,0.1
103,624,0,64,143.79078039486694,0.1
104,1684,0,128,285.70543265229566,0.1
105,1416,0,128,262.05698698766116,0.1
106,1440,0,128,270.997145260005,0.1
107,740,0,64,159.60370873010558,0.1
108,1496,0,128,273.98270999431617,0.1
109,1260,0,128,240.09126041963864,0.1
110,1940,0,128,347.0735755167793,0.1
111,748,0,64,175.67859511743217,0.1
112,764,0,64,162.32731541232877,0.1
113,844,0,64,186.62718389581266,0.1
114,852,0,64,178.46115950306773,0.1
115,484,0,64,115.34174853071136,0.1
116,1164,0,128,216.11230769165502,0.1
117,968,0,128,178.718321901231,0.1
118,928,0,128,155.78025675885874,0.1
119,612,0,64,136.59709457647182,0.1
120,2300,0,256,376.7616996612976,0.1
121,1140,0,128,217.14839962334173,0.1
122,1044,0,128,206.78268465254945,0.1
123,332,0,32,98.56127727504733,0.1
124,828,0,64,187.66327582749943,0.1
125,512,0,64,118.06535521293453,0.1
126,544,0,64,130.38054298635117,0.1
127,2344,0,256,347.66124497829196,0.1
128,872,0,64,168.80582505453737,0.1
129,1056,0,128,206.8416423559618,0.1
130,1100,0,128,224.60404349382475,0.1
131,628,0,64,144.11649180429174,0.1
132,868,0,64,196.60343409984324,0.1
133,1128,0,128,225.31442401608675,0.1
134,664,0,64,150.98446621326198,0.1
135,232,0,32,67.39343438259314,0.1
136,1460,0,128,271.259103312093,0.1
137,800,0,64,167.0593526005886,0.1
138,1460,0,128,267.94782716835704,0.1
139,1560,0,128,268.5354966298698,0.1
140,568,0,64,130.38054298635117,0.1
141,340,0,32,98.2403615195471,0.1
142,676,0,64,139.70537037153215,0.1
143,672,0,64,154.41845341774714,0.1
144,704,0,64,151.63588903211163,0.1
145,2352,0,256,343.254919199457,0.1
146,760,0,64,159.2142439633439,0.1
147,1236,0,128,229.133080333409,0.1
148,1316,0,128,228.42269981114706,0.1
149,628,0,64,131.47559262145026,0.1
150,416,0,64,98.17181250828563,0.1
151,296,0,32,80.41420702434719,0.1
152,460,0,32,121.50413807134422,0.1
153,1088,0,128,205.74659272086268,0.1
154,400,0,64,91.30383809931534,0.1
155,284,0,32,85.53570897936872,0.1
156,324,0,32,94.41690954830023,0.1
157,184,0,16,56.44004995028806,0.1
158,1116,0,128,215.72284292489329,0.1
159,508,0,32,122.54023000303101,0.1
160,1240,0,128,227.38660787946026,0.1
161,1280,0,128,235.29067422011732,0.1
162,660,0,64,150.33783904833695,0.1
163,1276,0,128,224.3372897878123,0.1
164,252,0,32,66.6782582064066,0.1
165,1032,0,64,208.20824135099792,0.1
166,564,0,64,115.66745994013615,0.1
167,1268,0,128,235.61638562954218,0.1
168,384,0,32,89.3591609506156,0.1
169,332,0,32,91.04667570115198,0.1
170,468,0,32,122.540230003031,0.1
171,1432,0,128,267.17369328875816,0.1
172,504,0,64,122.21451859360619,0.1
173,892,0,64,173.27590419070924,0.1
174,340,0,32,97.19947393393575,0.1
175,680,0,64,139.05874320660712,0.1
176,664,0,64,130.76521209918832,0.1
177,672,0,64,147.9399437755386,0.1
178,648,0,64,142.37001935034303,0.1
179,596,0,64,137.24851739532147,0.1
180,696,0,64,154.74416482717197,0.1
181,660,0,64,141.06717371264378,0.1
182,448,0,32,119.81662332080785,0.1
183,316,0,32,83.46352511599515,0.1
184,600,0,64,136.27138316704702,0.1
185,580,0,64,130.44429634368805,0.1
186,420,0,32,120.85271525249459,0.1
187,404,0,64,87.28218143331748,0.1
188,1592,0,128,290.56497655522935,0.1
189,880,0,64,196.21876498700613,0.1
190,1620,0,128,281.5610649255484,0.1
191,668,0,64,151.04821957059895,0.1
192,1300,0,128,234.9649628106925,0.1
193,1116,0,128,189.735459690873,0.1
194,420,0,32,110.55075363903917,0.1
195,920,0,64,197.2548569186929,0.1
196,980,0,128,159.15049060600697,0.1
197,792,0,64,182.86748528190273,0.1
198,1068,0,64,219.8720063055649,0.1
199,868,0,64,179.43349807741757,0.1
200,1080,0,128,207.16735376538657,0.1
201,1296,0,128,224.66300119723712,0.1
202,632,0,64,152.99769237322323,0.1
203,1040,0,64,206.5207266004615,0.1
204,284,0,32,83.13781370657037,0.1
205,816,0,64,166.47168313907588,0.1
206,688,0,64,147.87619041820167,0.1
207,320,0,32,93.76548672945061,0.1
208,708,0,64,152.02055814494878,0.1
209,384,0,32,94.15495149621232,0.1
210,1376,0,128,250.00375726633231,0.1
211,992,0,64,199.00132937264158,0.1
212,988,0,64,201.0735132360152,0.1
213,1184,0,128,226.35051594777352,0.1
214,2312,0,256,351.09523218277724,0.1
215,648,0,64,141.0719693665683,0.1
216,888,0,64,201.01455553260286,0.1
217,592,0,64,141.39288512206855,0.1
218,1008,0,128,181.767639992879,0.1
219,1048,0,128,191.74389019690963,0.1
220,508,0,32,130.44429634368808,0.1
221,1112,0,128,216.75893485658003,0.1
222,464,0,64,106.7273016677923,0.1
223,544,0,64,120.4632504857329,0.1
224,920,0,64,184.61395773585144,0.1
225,228,0,32,61.88246766080985,0.1
226,908,0,64,178.071694736306,0.1
227,652,0,64,133.87828354817321,0.1
228,1052,0,64,235.29546987404194,0.1
229,1284,0,128,227.06089647003546,0.1
230,564,0,64,124.93332962190482,0.1
231,280,0,32,75.94412788817525,0.1
232,444,0,32,118.12910857027143,0.1
233,984,0,64,207.55681853214833,0.1
234,1352,0,128,248.3210381697205,0.1
235,1668,0,128,312.7337034719276,0.1
236,1324,0,128,238.72466142460243,0.1
237,1040,0,64,213.3887010094318,0.1
238,728,0,64,167.76973312285057,0.1
239,1260,0,128,232.18239842505702,0.1
240,976,0,128,165.30808449271527,0.1
241,440,0,32,116.05692470689786,0.1
242,1120,0,128,206.52072660046153,0.1
243,1120,0,128,224.34208544173686,0.1
244,744,0,64,162.64823116782904,0.1
245,464,0,64,99.59736920673413,0.1
246,1428,0,128,269.24587715213175,0.1
247,560,0,64,131.09092350861314,0.1
248,1728,0,128,330.2931042611151,0.1
249,848,0,64,167.44402171342574,0.1
250,664,0,64,151.69964238944857,0.1
251,1184,0,128,232.8338212439066,0.1
252,1272,0,128,235.6753433329545,0.1
253,328,0,32,94.80157866113738,0.1
254,792,0,64,168.4801136451125,0.1
255,688,0,64,156.81634869054554,0.1
256,472,0,64,110.22024657568979,0.1
257,1144,0,128,218.1207381976916,0.1
258,312,0,32,101.2848839572705,0.1
259,856,0,64,186.62718389581272,0.1
260,1104,0,128,209.89096044760979,0.1
261,368,0,32,94.80157866113736,0.1
262,572,0,32,148.97603570722538,0.1
263,848,0,64,195.8930535775813,0.1
264,676,0,64,148.2019018276265,0.1
265,1900,0,128,332.36528812448876,0.1
266,1472,0,128,281.17639581271135,0.1
267,284,0,32,79.70382650208519,0.1
268,2064,0,256,316.4886064319129,0.1
269,724,0,64,162.00160400290392,0.1
270,592,0,64,139.71016602545674,0.1
271,1124,0,128,213.6506590615197,0.1
272,552,0,64,123.89723769021802,0.1
273,1096,0,128,214.6867509932065,0.1
274,1344,0,128,232.24135612846936,0.1
275,2660,0,256,414.2098475012096,0.1
276,776,0,64,165.75650696288935,0.1
277,2356,0,256,356.6603609540481,0.1
278,612,0,64,135.88671405420988,0.1
279,1104,0,128,205.48463466877476,0.1
280,596,0,64,139.38445461603192,0.1
281,2516,0,256,392.24412093318693,0.1
282,664,0,32,166.08701402623873,0.1
283,516,0,64,127.66173195805254,0.1
284,472,0,64,111.19738080396424,0.1
285,468,0,32,123.57632193471774,0.1
286,780,0,64,161.61213923614224,0.1
287,1036,0,128,197.2500612647683,0.1
288,292,0,32,90.00578811554064,0.1
289,1440,0,128,266.07864365365907,0.1
290,1396,0,128,265.4272208348094,0.1
291,772,0,64,176.32522228235726,0.1
292,768,0,64,176.3300179362818,0.1
293,748,0,64,166.73364119116377,0.1
294,680,0,64,153.05665007663558,0.1
295,1292,0,128,256.5508159198024,0.1
296,444,0,64,108.79948553116584,0.1
297,1580,0,128,266.20135471440824,0.1
298,764,0,64,168.80582505453734,0.1
299,1060,0,128,196.86539215193116,0.1
300,376,0,32,99.5973692067341,0.1
301,776,0,64,173.2806998446338,0.1
302,560,0,64,131.74234632746274,0.1
303,1420,0,128,251.3655606074439,0.1
304,1160,0,128,215.01246240263134,0.1
305,1064,0,128,201.66118269752792,0.1
306,356,0,32,104.39315975233086,0.1
307,612,0,64,130.05483157692635,0.1
308,444,0,32,122.54023000303097,0.1
309,2536,0,256,398.72742622932014,0.1
310,592,0,64,142.0443079409182,0.1
311,820,0,64,183.57786580416465,0.1
312,776,0,64,160.57604730445544,0.1
313,500,0,64,113.5952760767626,0.1
314,836,0,64,171.20372032733573,0.1
315,1292,0,128,223.30119785612547,0.1
316,1240,0,128,224.34208544173686,0.1
317,732,0,64,171.85514314618533,0.1
318,1032,0,128,190.382086855798,0.1
319,1472,0,128,279.16316965275007,0.1
320,508,0,64,114.63136800844937,0.1
321,756,0,64,157.85244062223228,0.1
322,564,0,64,119.10144714462129,0.1
323,1504,0,128,276.38060526711456,0.1
324,1356,0,128,234.25937794235517,0.1
325,1516,0,128,289.46992692013015,0.1
326,1344,0,128,253.05787101190492,0.1
327,1440,0,128,284.6103830171965,0.1
328,1016,0,128,185.91200771962613,0.1
329,612,0,64,142.75468846318014,0.1
330,2632,0,256,374.80743120474847,0.1
331,868,0,64,187.98898723692426,0.1
332,720,0,64,156.16492587169589,0.1
333,940,0,64,198.29094885037964,0.1
334,776,0,64,171.91410084959765,0.1
335,740,0,64,167.44402171342574,0.1
336,1584,0,128,298.73100094797434,0.1
337,1324,0,128,236.00585039630386,0.1
338,2024,0,256,312.7289078180029,0.1
339,768,0,64,155.84401011619565,0.1
340,1256,0,128,209.23953762876013,0.1
341,1376,0,128,258.23353501641424,0.1
342,580,0,64,123.18685716795606,0.1
343,696,0,64,141.39288512206858,0.1
344,476,0,64,109.18895029792759,0.1
345,552,0,32,131.15467686595008,0.1
346,620,0,64,145.47829514540334,0.1
347,832,0,64,187.33756441807463,0.1
348,704,0,64,153.05665007663555,0.1
349,1640,0,128,281.94573403838564,0.1
350,228,0,32,67.39343438259313,0.1
351,636,0,64,146.18867566766528,0.1
352,476,0,64,96.16338200224898,0.1
353,1564,0,128,256.2792665598653,0.1
354,1260,0,128,223.30119785612547,0.1
355,520,0,32,130.82896545652522,0.1
356,1656,0,128,309.2997162674424,0.1
357,384,0,32,107.11676643455404,0.1
358,684,0,64,153.70807289548517,0.1
359,424,0,32,123.57632193471778,0.1
360,1040,0,64,198.6166602598045,0.1
361,1684,0,128,297.3102399034504,0.1
362,1176,0,128,222.64977503727584,0.1
363,776,0,64,179.43829373134216,0.1
364,1668,0,128,317.2037826080995,0.1
365,960,0,64,203.08673939597637,0.1
366,1152,0,128,225.31442401608675,0.1
367,972,0,64,214.04012382828142,0.1
368,1268,0,128,245.91834724299756,0.1
369,1100,0,64,238.4037456691022,0.1
370,704,0,64,156.10596816828354,0.1
371,272,0,32,79.70382650208519,0.1
372,396,0,32,115.73600895139762,0.1
373,544,0,32,143.46986463936665,0.1
374,872,0,64,181.17997053136628,0.1
375,1304,0,128,244.88225531131081,0.1
376,664,0,64,144.83166798047824,0.1
377,400,0,32,111.58684557072593,0.1
378,1436,0,128,272.68466001054145,0.1
379,284,0,32,80.739918433772,0.1
380,1308,0,128,235.29546987404194,0.1
381,1628,0,128,310.3358081991292,0.1
382,704,0,64,152.3462695543736,0.1
383,440,0,32,118.12910857027141,0.1
384,720,0,64,178.72311755515557,0.1
385,936,0,128,167.44402171342577,0.1
386,612,0,64,148.2019018276265,0.1
387,2804,0,256,447.4546699109622,0.1
388,552,0,64,125.64850579809132,0.1
389,1728,0,128,329.1932589720915,0.1
390,1316,0,128,234.90600510728018,0.1
391,860,0,64,201.7249360548648,0.1
392,1264,0,128,222.64977503727584,0.1
393,1228,0,128,224.66300119723712,0.1
394,1164,0,64,250.39322203309405,0.1
395,1172,0,128,228.42749546507162,0.1
396,528,0,32,132.51648020706162,0.1
397,840,0,64,190.77634727648436,0.1
398,760,0,64,178.72311755515562,0.1
399,1384,0,128,275.3445133354278,0.1
400,860,0,64,203.4124508054012,0.1
401,1736,0,128,307.29128576140573,0.1
402,748,0,64,180.7953014185292,0.1
403,2324,0,256,364.50546959129304,0.1
404,1824,0,128,351.81040835896374,0.1
405,828,0,64,163.03769593459072,0.1
406,536,0,32,146.51918273101464,0.1
407,416,0,32,117.41872804800947,0.1
408,560,0,64,136.5381368730595,0.1
409,3252,0,256,512.967180502193,0.1
410,1876,0,128,356.2804874951357,0.1
411,716,0,64,167.44402171342577,0.1
412,2280,0,128,431.32562147414785,0.1
413,1856,0,128,319.986346993735,0.1
414,2008,0,128,338.13341724443535,0.1
415,2424,0,256,383.68863177368013,0.1
416,2140,0,256,338.78484006328495,0.1
417,1056,0,128,197.2500612647683,0.1
418,544,0,64,142.6957307597678,0.1
419,824,0,64,169.1315364639621,0.1
420,1092,0,128,204.83321184992514,0.1
421,2380,0,256,376.82065736470986,0.1
422,1216,0,128,235.29067422011735,0.1
423,1600,0,128,305.54001765353235,0.1
424,1076,0,64,227.06569212396002,0.1
425,708,0,64,165.69754925947697,0.1
426,1060,0,128,212.67832048716988,0.1
427,1808,0,128,350.4486050178522,0.1
428,784,0,64,200.30417501034086,0.1
429,1160,0,128,228.74841122057188,0.1
430,1228,0,128,257.9078236069894,0.1
431,1704,0,128,306.57610958521917,0.1
432,352,0,32,97.52518534336055,0.1
433,608,0,64,138.61032073643304,0.1
434,556,0,32,155.78505241278327,0.1
435,1004,0,64,212.7420738445067,0.1
436,888,0,128,164.33095026444084,0.1
437,608,0,64,133.48881878141148,0.1
438,1348,0,128,259.269626948101,0.1
439,1312,0,128,225.04767031007424,0.1
440,1136,0,128,214.03532817435686,0.1
441,1152,0,128,216.10751203773043,0.1
442,824,0,64,196.92914550926807,0.1
443,712,0,64,156.16492587169589,0.1
444,500,0,32,140.36158884430634,0.1
445,1580,0,128,312.02332294966556,0.1
446,284,0,32,85.86142038879352,0.1
447,1732,0,128,326.7953636992931,0.1
448,1736,0,128,332.3015347671518,0.1
449,1180,0,64,237.0419423279906,0.1
450,716,0,64,172.8912350778721,0.1
451,1588,0,128,306.2551938297189,0.1
452,1396,0,128,261.02089505597434,0.1
453,1084,0,128,199.65275219149123,0.1
454,1808,0,128,327.1210751087179,0.1
455,1628,0,128,301.8440723969593,0.1
456,2440,0,256,389.19480284153883,0.1
457,1352,0,128,242.48436003851242,0.1
458,700,0,64,158.89332820784364,0.1
459,1148,0,128,216.1075120377304,0.1
460,736,0,64,154.09274200832235,0.1
461,740,0,64,177.68702562346883,0.1
462,908,0,64,204.45333839101258,0.1
463,300,0,32,88.64878042835362,0.1
464,1556,0,128,291.863026539004,0.1
465,1432,0,128,278.12707772106324,0.1
466,872,0,64,180.4695900091043,0.1
467,592,0,64,144.44220321371654,0.1
468,1852,0,128,357.64229083624735,0.1
469,680,0,64,153.05665007663555,0.1
470,1584,0,128,285.3207635394584,0.1
471,1744,0,128,330.55506231320305,0.1
472,1132,0,128,230.11021456168348,0.1
473,2452,0,256,389.5205142509637,0.1
474,1380,0,128,249.03141869198248,0.1
475,1232,0,128,230.4948836745206,0.1
476,780,0,64,186.24251478297552,0.1
477,952,0,64,217.86357579952832,0.1
478,1024,0,128,191.0335096746477,0.1
479,1144,0,128,212.9992362426701,0.1
480,1012,0,128,195.8293002202444,0.1
481,924,0,64,212.03169332224482,0.1
482,580,0,64,135.56100264478505,0.1
483,1112,0,128,212.34781342382047,0.1
484,552,0,64,132.45272684972474,0.1
485,1060,0,128,190.38208685579804,0.1
486,1172,0,128,223.69066262288723,0.1
487,732,0,64,168.80582505453734,0.1
488,1272,0,128,263.3550369714358,0.1
489,580,0,64,134.85062212252308,0.1
490,940,0,64,195.24642641265623,0.1
491,1372,0,128,259.9210497669506,0.1
492,800,0,64,184.55500003243912,0.1
493,1212,0,128,223.62690926555035,0.1
494,936,0,64,203.41245080540122,0.1
495,792,0,64,194.86175729981912,0.1
496,696,0,64,159.53995537276865,0.1
497,1408,0,128,289.0804621533685,0.1
498,1796,0,128,346.6889064039421,0.1
499,700,0,64,158.5038634410819,0.1
500,900,0,64,192.784777782521,0.1
